,year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,feedback
84,Year 3,environmental studies,No,To go to class,2,7,2024-10-02,No,"Old/new bus - old buses tend to have narrow walkways and less seating (long waiting time before boarding as many are slowly alighting, very difficult to alight when the bus is full), the suspension is also much worse - less safe"
85,Year 3,life sciences,No,To go to class,2,10,2024-10-01,Yes,NIL
86,Year 4,psychology,No,To go to class,3,15,2024-10-02,Yes,NIL
87,Year 3,data science and analytics,No,To go to class,3,30,2024-10-02,No,Nil
88,Year 3,statistics,No,To go to class,1,5,2024-10-02,Yes,Exam period or not
89,Year 4,engineering - material science and engineering,No,To go to class,2,15,2024-10-02,Yes,Not really satisfied but I don't see a point in the wireless charging system the new NUS buses have cos the rides are too short for it to have a significance impact.
90,Year 4,materials science and engineering,No,To go to class,2,12,2024-10-02,No,"Whether I have enough standing space to be close enough to any grab bar, ease of leaving the bus, number of buses I have to wait for until I manage to get on one"
91,Year 3,data science and analytics,No,To go to class,2,40,2024-10-03,No,how rough the bus driver drives
92,Year 3,data science and analytics,No,To go to class,4,40,2024-10-03,Yes,Nil
93,Year 3,life sciences,No,To go for meals,0,15,2024-10-03,Yes,When I reach the bus stop and the bus just arrives.
94,Year 4,data science n psychology,No,To go to MRT,2,5,2024-10-03,Yes,sometimes bus damn shaky or the uncle drive very fast
95,Year 3,data science and analytics,No,To go to class,2,30,2024-10-03,Yes,Driving of the bus driver
96,Year 3,data science and analytics,No,To go to class,4,25,2024-10-03,Yes,Nil
97,Year 3,data science and analytics,No,To go to class,3,30,2024-10-04,No,Nil
98,Year 4,economics,No,To go to class,2,10,2024-10-04,No,NA
99,Year 4,economics,No,To go to CCA sessions,4,12,2024-10-04,No,NA
100,Year 1,sociology,Yes,To go to class,2,5,2024-10-03,Yes,nil
101,Year 1,data science and analytics,No,To go to class,1,10,2024-10-03,Yes,nil
102,Year 1,sociology,Yes,To go to class,4,10,2024-10-04,No,nil
103,Year 1,data science and analytics,No,To go to class,1,10,2024-10-04,No,nil
104,Year 3,anthropology,No,To go to class,2,35,2024-10-03,Yes,Presence of non-students/faculty/staff
