year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 2,computer science,No,To go to class,2,30,2024-09-30,No,LT27 / S17,LT13 / Ventus,A2,1900-01-01 13:30:00,Sunny,10,4,6,8,5,4,5,6
Year 2,computer science,No,To go to class,2,10,2024-09-30,No,COM3,LT27 / S17,D2,1900-01-01 16:00:00,Sunny,35,7,5,8,6,5,5,6
Year 2,economics,Yes,To go to class,4,30,2024-09-30,Yes,PGP,UTown,D2,1900-01-01 11:55:00,Sunny,10,10,7,5,3,6,8,6
Year 2,history,No,To go to class,4,20,2024-10-01,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:30:00,Sunny,20,10,4,9,4,4,4,4
Year 3,data science and analytics,No,To go to MRT,3,35,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 11:30:00,Sunny,15,8,4,2,8,8,9,8
Year 3,data science and analytics,No,To go to class,2,25,2024-10-01,Yes,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Sunny,20,5,6,8,3,4,7,6
Year 4,mechanical engineering,No,All of the above,2,10,2024-10-01,No,IT / CLB,UTown,D1,1900-01-01 11:15:00,Rainy,20,7,5,9,5,5,5,5
Year 3,data science and analytics,No,To go to class,3,40,2024-10-01,Yes,LT13 / Ventus,LT27 / S17,A1,1900-01-01 15:40:00,Sunny,40,4,6,9,6,8,9,10
Year 1,political science,No,To go to CCA sessions,1,5,2024-10-01,No,IT / CLB,UHC / Opp UHC,A2,1900-01-01 18:00:00,Sunny,30,5,7,9,5,2,7,6
Year 1,malay studies,No,To go to class,1,10,2024-10-01,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,1900-01-01 11:40:00,Sunny,40,1,8,9,4,4,7,7
Year 1,anthropology,No,To go to CCA sessions,1,5,2024-10-01,No,IT / CLB,LT27 / S17,A2,1900-01-01 15:40:00,Sunny,30,4,10,8,6,4,10,9
Year 1,life sciences,No,To go to class,2,10,2024-10-01,No,IT / CLB,LT27 / S17,A2,1900-01-01 09:50:00,Sunny,0,8,3,1,10,10,10,6
Year 3,geography,No,To go to class,2,15,2024-10-01,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 08:22:00,Sunny,18,4,7,4,5,7,8,7
Year 1,pharmaceutical science,Yes,To go to class,3,60,2024-10-01,No,LT13 / Ventus,LT27 / S17,A1,1900-01-01 09:40:00,Sunny,10,4,7,4,6,7,8,8
Year 4,economics,No,To go to class,2,10,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 14:00:00,Sunny,25,5,8,6,8,8,9,8
Year 1,nursing,No,To go to class,1,10,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,1900-01-01 12:45:00,Sunny,8,12,6,8,4,3,3,5
