Timestamp,What year of study are you in?,What major are you studying?,Do you stay on campus?,"In general, what is the main reason that you take the school bus?","On a normal school day, how many times do you take the school bus? Please enter a non-negative integer.","On a normal school day, how long do you spend riding the school bus in total (in minutes)? This does not include the time you spend waiting for the bus.",Please enter today's date.,Do you have an exam today?,Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Are there any other factors that influence how satisfied you are with the NUS bus system?
9/27/2024 12:38:34,Year 1,CS,Yes,To go to class,2,60,9/27/2024,No,UTown,LT27 / S17,D2,12:00:00 PM,Sunny,30,10,8,4,8,9,9,9,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,2:30:00 PM,Sunny,40,5,9,4,8,7,10,8,The next bus app timings has inaccurate timings. I once waited 45mins for a bus that was supposed to arrive in 1min
9/27/2024 12:39:01,Year 3,Life Sciences,No,To go to class,2,10,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,11:45:00 AM,Sunny,6,0,10,5,8,7,8,8,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,6:00:00 PM,Sunny,4,10,5,6,6,5,8,5,"Aircon functionality, speed of commute"
9/27/2024 12:39:48,Year 3,Faculty of Dentistry,No,To go to class,1,30 min,9/27/2024,No,LT27 / S17,IT / CLB,A1,5:00:00 PM,Rainy,100,10,7,10,6,9,5,5,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,4:00:00 PM,Rainy,50,10,4,8,8,8,8,7,NA
9/27/2024 12:42:20,Year 1,Geography,Yes,To go to class,2,10,9/27/2024,No,UTown,LT27 / S17,D2,2:00:00 PM,Sunny,10,3,8,3,8,8,8,8,LT27 / S17,UTown,D2,3:30:00 PM,Sunny,15,5,8,3,8,8,8,8,"nope
"
9/27/2024 12:44:33,Year 1,Geography,Yes,To go to class,2,10,9/27/2024,No,UTown,LT27 / S17,D2,2:00:00 PM,Rainy,35,20,2,9,2,2,2,2,LT27 / S17,UTown,D2,3:30:00 PM,Rainy,35,20,3,9,3,3,3,3,nope
9/27/2024 12:48:08,Year 2,Political Sciences,Yes,To go to CCA sessions,2,10,9/27/2024,No,UTown,BIZ2 / Opp HSSML,A2,7:30:00 PM,Sunny,15,10,6,3,6,6,7,8,BIZ2 / Opp HSSML,UTown,A2,10:00:00 PM,Sunny,5,10,6,3,7,7,7,8,perhaps the attitude of the bus driver
9/27/2024 12:50:19,Year 3,Psychology ,No,To go to class,2,10,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,10:00:00 AM,Sunny,20,5,7,7,7,7,9,7,IT / CLB,UHC / Opp UHC,A2,12:15:00 PM,Sunny,15,6,7,7,7,8,9,7,nil
9/27/2024 12:54:06,Year 2,Computer Science,No,To go to class,2,15,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,11:00:00 AM,Sunny,20,10,10,5,5,5,7,7,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,12:30:00 PM,Sunny,25,15,5,7,6,6,6,6,bus driver attitude
9/27/2024 13:27:38,Year 3,Business,No,To go to MRT,2,30,9/20/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,11:30:00 AM,Sunny,15,5,7,8,4,5,5,6,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,5:40:00 PM,Sunny,10,6,6,6,5,9,9,8,"Comfort and safety also depends on whether I am able to get a seat on the bus. If I have to stand, being near the windows and having something to lean on makes me feel more comfortable and safe than standing towards the centre of the bus and struggling to hold onto the supports."
9/27/2024 15:40:56,Year 3,DSA,No,To go to class,2,30,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,10:00:00 AM,Sunny,50,6,8,5,5,6,5,5,UTown,LT27 / S17,D2,1:00:00 PM,Sunny,20,5,8,2,8,8,8,8,"The way that the driver drives, there are instant acceleration sometimes which I can’t maintain my balance "
